Site,Nest,DBH,Ht
KLA,TC,117,38
KLA,SC,174,38
KLA,TC,165,38
KLA,TC,124,39
KLA,TC,117,39
KLA,TC,160,39
KLA,TC,109,39
KLA,TC,136,39
KLA,TC,137,39
KLA,TC,145,39
KLA,TC,94,39
KLA,TC,165,39
KLA,TC,112,40
KLA,SC,115,40
KLA,TC,144,40
KLA,TC,109,40
KLA,TC,119,40
KLA,PL,123,40
KLA,TC,170,41
KLA,TC,132,41
KLA,TC,150,41
KLA,TC,119,41
KLA,TC,155,41
KLA,TC,170,41
KLA,TC,79,41
KLA,TC,114,41
KLA,TC,142,41
KLA,TC,145,41
KLA,TC,135,42
KLA,PL,133,42
KLA,TC,135,43
KLA,TC,113,43
KLA,TC,150,43
KLA,TC,169,43
KLA,TC,135,43
KLA,TC,124,44
KLA,TC,94,44
KLA,TC,130,44
KLA,TC,118,44
KLA,TC,152,44
KLA,TC,160,45
KLA,TC,170,45
KLA,TC,117,45
KLA,TC,154,45
KLA,TC,147,45
KLA,TC,147,46
KLA,TC,146,47
KLA,TC,112,47
KLA,TC,153,48
KLA,TC,130,48
KLA,TC,141,49
KLA,TC,114,49
KLA,SC,104,49
KLA,TC,173,49
KLA,TC,132,49
KLA,TC,132,49
KLA,TC,116,50
KLA,TC,140,51
KLA,TC,144,51
KLA,TC,132,52
KLA,TC,163,52
KLA,TC,152,52
KLA,SC,144,52
KLA,TC,150,54
KLA,SC,131,55
KLA,PL,147,55
KLA,TC,151,58
KLA,TC,162,58
KLA,TC,178,60
KLA,PL,200,63
KLA,TC,177,71
TYE,TC,122,36
TYE,TC,107,35
TYE,TC,109,35
TYE,TC,112,35
TYE,TC,117,35
TYE,TC,117,35
TYE,TC,132,35
TYE,TC,137,35
TYE,TC,141,35
TYE,TC,159,35
TYE,TC,168,35
TYE,TC,175,35
TYE,TC,95,36
TYE,TC,155,37
TYE,TC,109,36
TYE,TC,152,34
TYE,TC,137,36
TYE,TC,138,36
TYE,TC,145,36
TYE,TC,145,36
TYE,TC,152,36
TYE,TC,165,36
TYE,TC,89,37
TYE,TC,91,37
TYE,TC,94,37
TYE,TC,101,37
TYE,TC,113,37
TYE,TC,127,32
TYE,TC,162,33
TYE,TC,127,42
TYE,TC,148,32
TYE,TC,175,32
TYE,TC,89,33
TYE,TC,102,33
TYE,TC,109,33
TYE,TC,117,33
TYE,TC,118,33
TYE,TC,132,33
TYE,TC,143,33
TYE,TC,145,33
TYE,TC,145,33
TYE,TC,107,35
TYE,TC,142,34
TYE,TC,161,37
TYE,TC,152,34
TYE,TC,150,34
TYE,TC,143,34
TYE,TC,142,34
TYE,TC,147,33
