"N","Site","Nest","Tree","DBH","Stage","Ht","logDBH"
574,"COA","TC","PSME",152,2,61,5.02388052084628
575,"COA","TC","PSME",112,2,35,4.71849887129509
576,"COA","PL","PSME",138,1,37,4.92725368515721
577,"COA","TC","PSME",122,2,40,4.80402104473326
578,"COA","TC","PSME",178,2,55,5.18178355029209
579,"COA","TC","PSME",191,2,60,5.25227342804663
580,"COA","SC","PSME",130,2,40,4.86753445045558
581,"COA","TC","PSME",167,2,42,5.11799381241676
582,"COA","TC","PSME",140,2,23,4.9416424226093
583,"COA","TC","PSME",132,2,19,4.88280192258637
584,"COA","TC","PSME",130,2,29,4.86753445045558
585,"COA","TC","PSME",108,2,26,4.68213122712422
586,"COA","PL","PSME",127,1,47,4.84418708645859
587,"COA","SC","PSME",83,2,39,4.4188406077966
589,"COA","TC","PSME",135,2,46,4.90527477843843
590,"COA","TC","PSME",152,2,40,5.02388052084628
591,"COA","TC","PSME",95,2,28,4.55387689160054
592,"COA","TC","PSME",122,2,34,4.80402104473326
593,"COA","SC","PSME",164,2,70,5.0998664278242
594,"COA","TC","PSME",157,2,45,5.05624580534831
595,"COA","TC","PSME",147,2,58,4.99043258677874
596,"COA","TC","PSME",190,2,48,5.24702407216049
597,"COA","TC","PSME",137,2,49,4.91998092582813
598,"COA","TC","PSME",120,2,47,4.78749174278205
599,"COA","TC","PSME",159,2,49,5.06890420222023
600,"COA","SC","PSME",155,2,46,5.04342511691925
601,"COA","TC","PSME",123,2,39,4.81218435537242
602,"COA","PL","PSME",83,1,43,4.4188406077966
603,"COA","TC","PSME",177,2,49,5.17614973257383
605,"COA","TC","PSME",94,2,29,4.54329478227
606,"COA","TC","PSME",97,2,20,4.57471097850338
607,"COA","TC","PSME",89,2,33,4.48863636973214
608,"COA","TC","PSME",141,2,21,4.94875989037817
609,"COA","TC","PSME",137,2,35,4.91998092582813
610,"COA","TC","PSME",164,2,45,5.0998664278242
611,"COA","TC","PSME",137,2,39,4.91998092582813
612,"COA","PL","PSME",87,1,48,4.46590811865458
613,"COA","TC","PSME",115,2,26,4.74493212836325
614,"COA","TC","PSME",130,2,48,4.86753445045558
615,"COA","PL","PSME",166,1,48,5.11198778835654
616,"COA","TC","PSME",152,2,34,5.02388052084628
617,"COA","SC","PSME",198,2,54,5.28826703069454
618,"COA","TC","PSME",219,2,38,5.3890717298165
619,"COA","TC","PSME",79,2,22,4.36944785246702
620,"COA","TC","PSME",126,2,34,4.83628190695148
621,"COA","TC","PSME",180,2,45,5.19295685089021
622,"COA","TC","PSME",181,2,48,5.19849703126583
623,"COA","TC","PSME",153,2,44,5.03043792139244
624,"COA","TC","PSME",180,2,53,5.19295685089021
626,"COA","TC","PSME",155,2,57,5.04342511691925
627,"COA","TC","PSME",126,2,52,4.83628190695148
628,"COA","PL","PSME",80,2,36,4.38202663467388
629,"COA","TC","PSME",107,2,35,4.67282883446191
631,"COA","TC","PSME",117,2,42,4.76217393479776
632,"COA","TC","PSME",190,2,56,5.24702407216049
633,"COA","SC","PSME",124,1,43,4.82028156560504
634,"COA","TC","PSME",134,2,54,4.89783979995091
635,"COA","TC","PSME",113,2,37,4.72738781871234
636,"COA","TC","PSME",139,2,38,4.93447393313069
637,"COA","TC","PSME",136,2,32,4.91265488573605
638,"COA","TC","PSME",120,2,55,4.78749174278205
639,"COA","TC","PSME",101,2,37,4.61512051684126
640,"COA","TC","PSME",141,2,25,4.94875989037817
641,"COA","TC","PSME",145,2,30,4.97673374242057
642,"COA","TC","PSME",148,2,46,4.99721227376411
643,"COA","TC","PSME",107,2,35,4.67282883446191
644,"COA","TC","PSME",137,2,22,4.91998092582813
645,"COA","TC","PSME",173,2,40,5.15329159449778
646,"COA","TC","PSME",108,2,49,4.68213122712422
647,"COA","TC","PSME",185,2,59,5.22035582507832
648,"COA","SC","PSME",203,2,69,5.31320597904179
649,"COA","TC","PSME",158,2,54,5.06259503302697
650,"COA","TC","PSME",161,2,50,5.08140436498446
651,"COA","TC","PSME",156,2,46,5.04985600724954
652,"COA","TC","PSME",194,2,48,5.26785815906333
653,"COA","PL","PSME",175,1,66,5.16478597392351
654,"COA","SC","PSME",152,2,48,5.02388052084628
655,"COA","TC","PSME",142,2,28,4.95582705760126
656,"COA","TC","PSME",183,2,47,5.20948615284142
657,"COA","TC","PSME",145,2,33,4.97673374242057
659,"COA","TC","PSME",197,2,53,5.28320372873799
660,"COA","PL","PSME",111,1,47,4.70953020131233
661,"COA","TC","PSME",168,2,53,5.12396397940326
662,"COA","TC","PSME",114,2,31,4.7361984483945
663,"COA","TC","PSME",142,2,40,4.95582705760126
664,"COA","TC","PSME",149,2,50,5.00394630594546
